parent;predicate;child;parentLabel;childLabel
http://data.europa.eu/esco/isco/C8113;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/622b1d5e-bf14-4ec0-b83e-3bfcf8dff624;Boorders van bronnen e.d.;driller
http://data.europa.eu/esco/isco/C2513;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/9ebaf3f0-0be0-47b7-b2b1-b3b04130fa81;Web- en multimediaontwikkelaars;digital games developer
http://data.europa.eu/esco/isco/C8143;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/c706886d-5bc7-4430-9a72-051fc483235f;Bedieningspersoneel van machines voor de vervaardiging van producten van papier;operator absorberende verbanden
http://data.europa.eu/esco/isco/C2641;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/b06a1dde-e5a1-4219-9491-2bedd0282e4b;Auteurs e.d.;schrijver
http://data.europa.eu/esco/isco/C2641;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/572c51ef-531b-4331-8e66-b1641173e54e;Auteurs e.d.;dramaturg
http://data.europa.eu/esco/isco/C2641;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4bef1707-a251-427e-9d8b-96595ec38d45;Auteurs e.d.;redacteur uitgeverij
http://data.europa.eu/esco/isco/C2641;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/f3d8bc61-f812-4106-afd2-a356e4c11fce;Auteurs e.d.;wetenschappelijk onderzoeker taal- en literatuurwetenschap
http://data.europa.eu/esco/isco/C5414;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/31808988-fc0a-4bc3-9e47-27216d6759f5;Beveiligingspersoneel;beveiliger
http://data.europa.eu/esco/isco/C2132;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/a330b7b6-696e-455c-b6d5-f39f82c1489f;Adviseurs op het gebied van landbouw, bosbouw en visserij;manager recirculatiesystemen aquacultuur
http://data.europa.eu/esco/isco/C6113;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16;Tuinders en kwekers;medewerker groenvoorziening/medewerkster groenvoorziening
http://data.europa.eu/esco/isco/C3355;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/3880e9e8-bc2b-48d9-8afc-a0f258c1c4b0;Inspecteurs van politie en rechercheurs;tactisch rechercheur
http://data.europa.eu/esco/isco/C3355;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/ce2b8609-34c7-40d3-a4f7-581c76bd258a;Inspecteurs van politie en rechercheurs;hoofdinspecteur
http://data.europa.eu/esco/isco/C3355;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/3cee6bea-4a19-4511-9bbb-fdf820857555;Inspecteurs van politie en rechercheurs;technisch rechercheur
http://data.europa.eu/esco/isco/C2261;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/e52b5707-7097-4dbc-ac61-054e917da241;Tandartsen;tandarts
http://data.europa.eu/esco/isco/C2261;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba;Tandartsen;tandartsspecialist
http://data.europa.eu/esco/isco/C5230;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/2b871272-bd61-4206-bd1a-0b96d7023098;Kassabedienden en kaartverkopers;kassamedewerker
