head;relation;tail
followspot operator;broadMatch;theatre technician
theatre technician;narrowMatch;followspot operator
stage machinist;broadMatch;theatre technician
theatre technician;narrowMatch;stage machinist
data centre operator;broadMatch;information and communications technology operations technicians
branch manager;broadMatch;business manager
biomedical engineer;broadMatch;bioengineer
home care aide;broadMatch;home-based personal care workers
heating and ventilation service engineer;broadMatch;air conditioning and refrigeration mechanics
air conditioning and refrigeration mechanics;narrowMatch;heating and ventilation service engineer
medical laboratory assistant;broadMatch;medical and pathology laboratory technicians
medical and pathology laboratory technicians;narrowMatch;medical laboratory assistant
crop production worker;broadMatch;mixed crop and livestock farm labourers
mixed crop and livestock farm labourers;narrowMatch;crop production worker
farrier;broadMatch;blacksmith
blacksmith;narrowMatch;farrier
vineyard worker;broadMatch;crop farm labourers
crop farm labourers;narrowMatch;vineyard worker
fruit and vegetable picker;broadMatch;crop farm labourers
home-based personal care workers;narrowMatch;home care aide
crop farm labourers;narrowMatch;fruit and vegetable picker
secretaries (general);narrowMatch;secretary
ict network architect;broadMatch;computer network professionals
computer network professionals;narrowMatch;ict network architect
ict capacity planner;broadMatch;computer network professionals
computer network professionals;narrowMatch;ict capacity planner
ict network engineer;broadMatch;computer network professionals
computer network professionals;narrowMatch;ict network engineer
photographer;broadMatch;photographers
photographers;narrowMatch;photographer
photojournalist;broadMatch;photographers
photographers;narrowMatch;photojournalist
secretary;broadMatch;secretaries (general)
stage technician;broadMatch;theatre technician
oenologist;broadMatch;chemical engineer
cider master;broadMatch;chemical engineer
leather goods maintenance technician;broadMatch;leather goods machine operator
leather goods machine operator;narrowMatch;leather goods maintenance technician
companion;broadMatch;companions and valets
companions and valets;narrowMatch;companion
anatomical pathology technician;broadMatch;biomedical scientist
biomedical scientist;narrowMatch;anatomical pathology technician
cytology screener;broadMatch;biomedical scientist
biomedical scientist;narrowMatch;cytology screener
mouldmaker;broadMatch;foundry operative
foundry operative;narrowMatch;mouldmaker
foundry moulder;broadMatch;foundry operative
steam engine and boiler operators;narrowMatch;boiler operator
foundry operative;narrowMatch;foundry moulder
foundry operative;narrowMatch;coquille casting worker
foundry operative;broadMatch;metal moulders and coremakers
metal moulders and coremakers;narrowMatch;foundry operative
statistical assistant;broadMatch;statistical, mathematical and related associate professionals
statistical, mathematical and related associate professionals;narrowMatch;statistical assistant
actuarial assistant;broadMatch;statistical, mathematical and related associate professionals
statistical, mathematical and related associate professionals;narrowMatch;actuarial assistant
land surveyor;broadMatch;cartographers and surveyors
cartographers and surveyors;narrowMatch;land surveyor
cartographer;broadMatch;cartographers and surveyors
cartographers and surveyors;narrowMatch;cartographer
coquille casting worker;broadMatch;foundry operative
geographic information systems specialist;broadMatch;cartographers and surveyors
boiler operator;broadMatch;steam engine and boiler operators
steam plant operator;broadMatch;steam engine and boiler operators
chemist;broadMatch;chemists
chemists;narrowMatch;chemist
sensory scientist;broadMatch;chemists
chemists;narrowMatch;sensory scientist
youth centre manager;broadMatch;social services manager
social services manager;narrowMatch;youth centre manager
youth programme director;broadMatch;social services manager
social services manager;narrowMatch;youth programme director
public housing manager;broadMatch;social services manager
social services manager;narrowMatch;public housing manager
social services manager;broadMatch;social welfare managers
steam engine and boiler operators;narrowMatch;steam plant operator
social welfare managers;narrowMatch;social services manager
sewing machine operator;narrowMatch;protective clothing apparel manufacturer
leather goods stitching machine operator;broadMatch;sewing machine operator
sewing machine operator;narrowMatch;leather goods stitching machine operator
embroidery machine operator;broadMatch;sewing machine operator
sewing machine operator;narrowMatch;embroidery machine operator
clothing alteration machinist;broadMatch;sewing machine operator
sewing machine operator;narrowMatch;clothing alteration machinist
clothing sample machinist;broadMatch;sewing machine operator
sewing machine operator;narrowMatch;clothing sample machinist
sewing machine operator;broadMatch;sewing machine operators
sewing machine operators;narrowMatch;sewing machine operator
protective clothing apparel manufacturer;broadMatch;sewing machine operator
chemical engineer;narrowMatch;cider master
cartographers and surveyors;narrowMatch;geographic information systems specialist
cartographers and surveyors;narrowMatch;cadastral technician
investor relations manager;broadMatch;investment adviser
investment adviser;narrowMatch;investor relations manager
corporate investment banker;broadMatch;investment adviser
investment adviser;narrowMatch;corporate investment banker
investment manager;broadMatch;investment adviser
investment adviser;narrowMatch;investment manager
clothing process control technician;broadMatch;automated assembly line operator
